colunas,tipos,missing,qtd,unicos
vl_faturamento_estimado_grupo_aux,float64,27513,462298,6794
qt_ex_funcionarios,float64,347044,462298,1092
qt_funcionarios_grupo,float64,347035,462298,1456
percent_func_genero_masc,float64,386356,462298,2391
percent_func_genero_fem,float64,386356,462298,2391
idade_ate_18,float64,459392,462298,33
idade_de_19_a_23,float64,436408,462298,133
idade_de_24_a_28,float64,423403,462298,186
idade_de_29_a_33,float64,422155,462298,240
idade_de_34_a_38,float64,425569,462298,258
idade_de_39_a_43,float64,431890,462298,243
idade_de_44_a_48,float64,438008,462298,209
idade_de_49_a_53,float64,443261,462298,191
idade_de_54_a_58,float64,448323,462298,164
idade_acima_de_58,float64,451272,462298,176
grau_instrucao_macro_analfabeto,float64,460414,462298,34
grau_instrucao_macro_escolaridade_fundamental,float64,437402,462298,281
grau_instrucao_macro_escolaridade_media,float64,394501,462298,513
grau_instrucao_macro_escolaridade_superior,float64,439571,462298,346
grau_instrucao_macro_desconhecido,float64,462298,462298,0
total,float64,386356,462298,709
meses_ultima_contratacaco,float64,358724,462298,3657
qt_admitidos_12meses,float64,358724,462298,258
qt_desligados_12meses,float64,358724,462298,227
qt_desligados,float64,358724,462298,1082
qt_admitidos,float64,358724,462298,1332
media_meses_servicos_all,float64,358738,462298,61515
max_meses_servicos_all,float64,358738,462298,7194
min_meses_servicos_all,float64,358738,462298,3015
media_meses_servicos,float64,386037,462298,37029
max_meses_servicos,float64,386037,462298,5484
min_meses_servicos,float64,386037,462298,3003
qt_funcionarios,float64,358724,462298,712
qt_funcionarios_12meses,float64,358724,462298,713
qt_funcionarios_24meses,float64,358724,462298,762
tx_crescimento_12meses,float64,388410,462298,2237
tx_crescimento_24meses,float64,388284,462298,3388
tx_rotatividade,float64,358724,462298,2548
qt_filiais,int64,0,462298,304
